deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
fake_352.wav,1.4707819,2.0308676,2.7027268,1.8234689,2.5329463,NISQAv2
fake_2064.wav,2.444191,2.790212,2.7523582,2.1486418,3.4227607,NISQAv2
real_1114.wav,2.748277,3.2206147,2.889334,2.611491,3.5987306,NISQAv2
fake_434.wav,2.1104815,2.2909226,3.214375,2.3483908,3.1153665,NISQAv2
real_2409.wav,4.059767,3.3921037,4.437821,3.9861822,4.282096,NISQAv2
real_1100.wav,4.2719984,4.111769,4.4217434,4.0686316,4.370205,NISQAv2
fake_420.wav,2.0919225,2.5246658,3.0232756,2.3982086,3.158929,NISQAv2
real_1666.wav,3.8295999,3.9391987,4.4859514,4.2011385,4.264276,NISQAv2
fake_346.wav,2.1146867,2.5139728,2.8069277,2.3102148,3.137274,NISQAv2
fake_2070.wav,2.9820004,3.702945,3.8142283,2.3310797,3.5517704,NISQAv2
fake_1579.wav,3.2886546,3.7363312,3.9075284,3.2237084,3.8915596,NISQAv2
fake_2058.wav,2.9281805,3.8608732,3.6447496,2.3240128,3.6299865,NISQAv2
real_1896.wav,4.4657183,4.348493,4.557184,4.169778,4.447885,NISQAv2
real_2347.wav,4.689683,4.2859254,4.6817036,4.3647127,4.618263,NISQAv2
fake_1551.wav,2.5883813,2.7168376,3.4910915,2.7488916,3.3579206,NISQAv2
real_2421.wav,4.024373,3.2580903,4.422176,3.9471776,4.2743354,NISQAv2
fake_1237.wav,3.3683302,2.6936445,4.0187144,3.0694702,3.806311,NISQAv2
fake_408.wav,1.7121964,2.3767638,3.0126886,1.8066242,2.666058,NISQAv2
real_1128.wav,2.9749763,3.0571034,3.7723987,2.8100917,3.5946393,NISQAv2
real_2435.wav,3.9587193,3.635877,4.4375267,3.7273314,4.1830573,NISQAv2
fake_1223.wav,3.1174374,2.4401655,4.0537386,2.614612,3.5614533,NISQAv2
real_2353.wav,4.637883,4.3520575,4.6600885,4.2922425,4.531934,NISQAv2
fake_1545.wav,2.668976,3.0933583,3.4397447,2.49831,3.4094923,NISQAv2
real_1882.wav,3.0167277,3.2869008,2.4441493,3.094512,3.772353,NISQAv2
real_429.wav,4.226067,3.8670912,4.452756,3.946882,4.417767,NISQAv2
fake_583.wav,2.7228262,3.4527109,3.9706893,2.2415109,3.4594378,NISQAv2
fake_597.wav,3.401648,3.7128751,3.98905,2.859049,3.802792,NISQAv2
real_1909.wav,3.921866,3.6670487,4.1547356,3.4864366,3.939613,NISQAv2
real_373.wav,4.0179935,3.5058677,4.3363075,3.7814968,4.3944526,NISQAv2
real_1921.wav,4.579282,4.293387,4.516014,4.073475,4.43653,NISQAv2
real_415.wav,4.0197835,3.5163574,4.3169336,4.134894,4.3400054,NISQAv2
real_2596.wav,3.7548168,3.3481724,4.24488,3.595829,4.1500635,NISQAv2
fake_1380.wav,3.9540331,3.9025266,4.2896633,3.59631,4.0743594,NISQAv2
real_2582.wav,3.9360054,3.4529831,4.3218374,3.9644716,4.202581,NISQAv2
fake_1394.wav,3.1374695,3.3696835,3.916368,2.6881607,3.5210376,NISQAv2
real_401.wav,4.3219314,3.9129744,4.5882936,3.9453413,4.490581,NISQAv2
real_367.wav,4.0361443,3.80012,4.3038044,3.920006,4.2834973,NISQAv2
real_1935.wav,4.0181236,4.319465,4.298991,3.7513435,3.8867052,NISQAv2
fake_1419.wav,3.019716,2.1731057,4.0535073,3.0085592,3.878557,NISQAv2
real_1706.wav,3.940855,3.9600818,4.3047314,3.8299882,4.256894,NISQAv2
fake_226.wav,3.0559595,3.2839363,3.7096317,2.9031372,3.6691046,NISQAv2
fake_2110.wav,2.5382948,2.6719213,3.566117,2.4280305,3.3362243,NISQAv2
real_1060.wav,3.9876707,3.205436,4.3717604,4.0971026,4.3271365,NISQAv2
fake_540.wav,2.594343,2.1059568,3.6140451,2.5750844,3.211032,NISQAv2
real_2569.wav,4.0640173,3.557617,4.366538,3.807506,4.2541947,NISQAv2
real_1074.wav,3.5915687,3.103061,3.3177395,3.1669035,3.8469722,NISQAv2
fake_554.wav,2.880645,2.4856935,3.8006968,2.6217756,3.5577796,NISQAv2
real_398.wav,4.060591,2.894717,4.501257,3.7740326,4.35166,NISQAv2
real_1712.wav,3.8816726,2.8232017,4.1796227,3.627374,4.2162027,NISQAv2
fake_232.wav,2.8101075,3.28779,3.5642087,2.580734,3.5454254,NISQAv2
fake_2104.wav,2.5672076,2.9576275,3.8035355,2.7667642,3.5357418,NISQAv2
real_2233.wav,4.63241,4.133708,4.7665143,4.456247,4.6056905,NISQAv2
fake_1425.wav,3.052791,2.5653296,3.989372,2.9721313,3.8139088,NISQAv2
real_2555.wav,4.3188,4.3978295,4.469879,4.108127,4.3994584,NISQAv2
fake_1343.wav,2.6616302,3.4013855,3.4551876,2.5967638,3.560282,NISQAv2
fake_568.wav,3.111644,2.5944827,3.6273751,2.8290892,3.7605174,NISQAv2
real_1048.wav,3.7427065,3.5961127,4.4642715,4.1701484,4.0938125,NISQAv2
real_2541.wav,4.4827127,4.1737204,4.652549,4.409764,4.4372687,NISQAv2
